"biz_rest.business_id" "biz_rest.stars" "biz_rest.longitude" "biz_rest.latitude" "biz_rest.state" "biz_rest.attributes..Take.out." "biz_rest.attributes..Takes.Reservations." "biz_rest.attributes..Wi.Fi." "biz_rest.attributes.Caters"
"1" "mVHrayjG3uZ_RLHkLj-AMg" 4.5 -79.8663507 40.408735 "PA" TRUE FALSE "no" TRUE
"2" "KayYbHCt-RkbGcPdGOThNg" 4 -80.067534 40.415517 "PA" TRUE FALSE "free" FALSE
"5" "b9WZJp5L1RZr4F1nxclOoQ" 4.5 -80.0847998 40.3967441 "PA" TRUE FALSE "no" TRUE
"8" "rv7CY8G_XibTx82YhuqQRw" 3.5 -80.0937037 40.3868915 "PA" TRUE FALSE "no" FALSE
"10" "wqu7ILomIOPSduRwoWp4AQ" 4 -80.073426 40.391255 "PA" TRUE FALSE "no" FALSE
"11" "P1fJb2WQ1mXoiudj8UE44w" 3.5 -80.0854582 40.4082572 "PA" TRUE TRUE "no" TRUE
"12" "PK6aSizckHFWk8i0oxt5DA" 2 -79.910032 40.412086 "PA" TRUE FALSE "free" FALSE
"14" "6ilJq_05xRgek_8qUp36-g" 2 -79.9044562 40.413496 "PA" TRUE FALSE "no" FALSE
"15" "MKyk4F4HSzHF8v-4cYe3Ww" 3.5 -79.9151108 40.4094884 "PA" FALSE TRUE "no" FALSE
"18" "McikHxxEqZ2X0joaRNKlaw" 3.5 -79.9151108 40.4094884 "PA" TRUE TRUE "no" FALSE
"19" "EoAY1JSVeJriBzId8lUQwQ" 2.5 -79.917508 40.4070709 "PA" TRUE TRUE "free" FALSE
"22" "6p9TlP2I8S4agxYMNFSDjg" 3 -79.9141364 40.410967 "PA" TRUE FALSE "no" TRUE
"23" "JDDeaNfb0JXD1NbznSIC9g" 3 -79.91615 40.4071112 "PA" TRUE TRUE "no" FALSE
"24" "FiXamVMgMf9U0VqFHDZSEA" 3 -79.9166162 40.407152 "PA" TRUE FALSE "free" TRUE
"26" "eznh0XjVtv924K-KYx_ilQ" 3 -79.9132525 40.4113236 "PA" TRUE FALSE "no" TRUE
"27" "usSROUMiAgPcxV3Ym0OxMQ" 4 -79.9180894261369 40.4088783792259 "PA" TRUE TRUE "free" FALSE
"32" "r8BwdblCW-ZUES37BL0khw" 4.5 -80.074153 40.472505 "PA" TRUE FALSE "free" TRUE
"37" "Lml0-yTNsMYsP9IrSMxw9A" 2.5 -80.0586009 40.4970698 "PA" TRUE FALSE "no" FALSE
"40" "ucKQlQvOeJxETLNkpKcaSw" 3.5 -80.057381 40.4966408 "PA" TRUE FALSE "no" TRUE
"41" "ZL6DNzyenFm9Kpz6uADlNg" 2.5 -79.9145 40.450249 "PA" TRUE TRUE "no" TRUE
"43" "Y2p07YEC8xOsYTHWf0UxiA" 3 -79.9251169 40.4582511 "PA" TRUE FALSE "no" TRUE
"44" "g58NW9q4F09wTMiI7EIjmg" 3.5 -79.9229971 40.4653904 "PA" TRUE FALSE "no" TRUE
"46" "83_p9vIqOq1TUIf3_GD7bA" 4.5 -79.918862 40.474884 "PA" TRUE FALSE "free" FALSE
"47" "Ts4xsKPU7FNPPZRj-nRjIg" 3 -79.9255146 40.4583902 "PA" TRUE FALSE "no" TRUE
"48" "UtWJ8NGMg-3z28s0RzlUoQ" 3 -79.9180322 40.4579265 "PA" TRUE FALSE "no" FALSE
"50" "B9C6j80ob0f1pwi1Cnnd1Q" 3 -79.9251182 40.4582251 "PA" TRUE FALSE "no" TRUE
"52" "2SwC8wqpZC4B9iFVTgYT9A" 4 -79.924797 40.458138 "PA" FALSE TRUE "no" TRUE
"53" "PzG0XmAmtXFs6Fdnubf41g" 4 -79.935388 40.464485 "PA" TRUE FALSE "free" TRUE
"54" "lHP5STO7aomlEQixH8m1aA" 4 -79.9252056 40.4572935 "PA" TRUE FALSE "no" TRUE
"55" "-iVcmhjfq79QoTWzrb6pKg" 4.5 -79.8954753 40.4481991 "PA" TRUE FALSE "no" FALSE
"56" "l_Wey2YC6NvVUIH8vTygGg" 4 -79.9275276 40.457835 "PA" TRUE TRUE "no" TRUE
"60" "LltDzuzRbAJbSrqD4JH-3A" 3 -79.9866275 40.3923844 "PA" TRUE FALSE "no" FALSE
"62" "QIJa5h2d65Bgh82zct7c7A" 4 -79.996225 40.388311 "PA" TRUE FALSE "no" FALSE
"64" "BbIh5NTizhV4Fq_mLmNkpg" 1.5 -79.98224 40.387167 "PA" TRUE FALSE "no" FALSE
"65" "IxQ1ATP_Wg_QujO9nywzcQ" 4 -79.999815 40.455167 "PA" TRUE TRUE "no" TRUE
"67" "oj8bMz76cKXQClpFTFNW9w" 5 -79.9992711 40.4535039 "PA" TRUE FALSE "no" FALSE
"74" "q_BKmbdlYfQJroJVHfYMUQ" 4 -80.0015054 40.4566092 "PA" TRUE TRUE "no" TRUE
"77" "Z101WZaISochG6g7tI2ZVw" 3 -80.0042395 40.4480678 "PA" TRUE TRUE "no" TRUE
"78" "Eixtf79t1_ZKaC-7J2kAWg" 3.5 -80.0008071 40.4535915 "PA" TRUE FALSE "no" FALSE
"84" "OIL-eZX8d10jgWPLW-E7zA" 3 -80.0414027 40.4810824 "PA" TRUE FALSE "no" FALSE
"86" "wan0X-oHpLgGTPXqaICZCw" 3.5 -80.024957 40.409125 "PA" TRUE FALSE "no" FALSE
"87" "QnyzlVMyx0Exri-Lay10cA" 3.5 -80.049448 40.388562 "PA" TRUE TRUE "free" FALSE
"89" "m61vZsAxmTEq3uiCjFjM8Q" 3.5 -80.0352133 40.3942631 "PA" TRUE FALSE "no" FALSE
"90" "93UCt9OgWYmypZCpXtUu8g" 3.5 -80.030322 40.412659 "PA" TRUE FALSE "no" FALSE
"91" "ORTRrw3ClZ0Ld0LgY1H_5g" 3.5 -80.033585 40.395871 "PA" TRUE FALSE "no" FALSE
"93" "5Udv4CASAXB2eH66TefWPQ" 4 -80.0409102 40.3897336 "PA" TRUE FALSE "no" FALSE
"94" "2Igiyhi82R8_QaaPplRmCw" 4.5 -80.0348023 40.3959206 "PA" TRUE FALSE "no" FALSE
